run_id,run_name,status,updated_at,output_dir,summary_path,metrics_summary_path,tcn_target_mode,tcn_other_mode,tcn_systole_weight_multiplier,tcn_boundary_ignore_ms,cnn_epochs,cnn_inner_val_size,encoder_block,pooling,patient_mil_attention,weak_murmur_weight,moderate_murmur_weight,decision_threshold,score_weights,error,threshold,auroc,auprc,balanced_accuracy,sensitivity,specificity,precision,precision_ppv,f1,brier_score,mean_score,tn,fp,fn,tp,cnn_phase_mode
tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_reuse_tcn,completed,2026-05-27T13:01:04Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,multiscale,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.8665728869418432,0.7778293860234252,0.7940597242876091,0.6312849162011173,0.9568345323741008,0.7902097902097902,0.7902097902097902,0.701863354037267,0.0870877949671427,0.7700481482055689,665.0,30.0,66.0,113.0,systole
tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_reuse_tcn,completed,2026-05-27T13:15:39Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,multiscale,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.873284835818496,0.7776744096432413,0.8149672440818295,0.6759776536312849,0.953956834532374,0.7908496732026143,0.7908496732026143,0.7289156626506024,0.0849511429997914,0.787424956004219,663.0,32.0,58.0,121.0,systole
tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_focal_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_focal_reuse_tcn,completed,2026-05-27T13:39:01Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_focal_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_focal_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_logmel_dilated32_focal_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,multiscale,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.8447329287408062,0.7286335410415841,0.7885575338611792,0.6145251396648045,0.962589928057554,0.8088235294117647,0.8088235294117647,0.6984126984126985,0.0917065599058945,0.7710878238867054,669.0,26.0,69.0,110.0,systole
tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_focal_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_focal_reuse_tcn,completed,2026-05-27T13:54:02Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_focal_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_focal_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_focal_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,multiscale,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.9110083999839236,0.8430509163320455,0.8367629918411639,0.7094972067039106,0.9640287769784172,0.8355263157894737,0.8355263157894737,0.7673716012084593,0.0708186052028039,0.8191059751700652,670.0,25.0,52.0,127.0,systole
tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_bce_auc01_reuse_tcn,tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_bce_auc01_reuse_tcn,completed,2026-05-27T14:06:43Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_bce_auc01_reuse_tcn,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_bce_auc01_reuse_tcn/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/tcn_attn_weight2_platt_thr045_ignore_multiscale_stft_dilated32_bce_auc01_reuse_tcn/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,multiscale,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.9071419959004864,0.8320043066585482,0.8492906233672279,0.7374301675977654,0.9611510791366906,0.8301886792452831,0.8301886792452831,0.7810650887573964,0.071917282299673,0.8274587536842838,668.0,27.0,47.0,132.0,systole
locaware_labels_multiscale_stft_dilated32_focal,locaware_labels_multiscale_stft_dilated32_focal,completed,2026-05-27T17:35:06Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/locaware_labels_multiscale_stft_dilated32_focal,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/locaware_labels_multiscale_stft_dilated32_focal/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/locaware_labels_multiscale_stft_dilated32_focal/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,multiscale,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.906056830513243,0.8421301590627371,0.8404445158956634,0.7039106145251397,0.9769784172661872,0.8873239436619719,0.8873239436619719,0.7850467289719626,0.0683795857119789,0.8383149261063153,679.0,16.0,53.0,126.0,systole
locaware_per_segment_stft_multiscale_dilated32_focal,locaware_per_segment_stft_multiscale_dilated32_focal,completed,2026-05-27T18:30:59Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/locaware_per_segment_stft_multiscale_dilated32_focal,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/locaware_per_segment_stft_multiscale_dilated32_focal/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/locaware_per_segment_stft_multiscale_dilated32_focal/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,multiscale,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.9109119408383908,0.8447924988154342,0.8486556006591375,0.7318435754189944,0.9654676258992806,0.8451612903225807,0.8451612903225807,0.7844311377245509,0.0680429363040481,0.8317259073413517,671.0,24.0,48.0,131.0,systole
abc_locaware_perseg_focalfix_perfreqnorm_seed42,abc_locaware_perseg_focalfix_perfreqnorm_seed42,failed,2026-05-27T18:39:22Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/abc_locaware_perseg_focalfix_perfreqnorm_seed42,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/abc_locaware_perseg_focalfix_perfreqnorm_seed42/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/abc_locaware_perseg_focalfix_perfreqnorm_seed42/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,multiscale,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1","Command '['/Users/thiagorodrigues/Desktop/obsidian/heart-research/.venv/bin/python3', '/Users/thiagorodrigues/Desktop/obsidian/heart-research/modeling/Grupo E TCN segmentacao frame a frame/train_tcn_frame_segmenter.py', '--dataset-dir', '/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/abc_locaware_perseg_focalfix_perfreqnorm_seed42/fold_1/tcn_dataset_train_patients', '--output-dir', '/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/abc_locaware_perseg_focalfix_perfreqnorm_seed42/fold_1/tcn', '--epochs', '10', '--batch-size', '42', '--device', 'mps', '--val-size', '0.15', '--test-size', '0.15', '--label-mode', 'overlap', '--target-mode', 'cardiac-phase', '--other-mode', 'ignore', '--boundary-ignore-ms', '10.0', '--systole-weight-multiplier', '2.0', '--no-causal', '--pooling', 'attention', '--exclude-murmur-unknown', '--no-progress']' returned non-zero exit status 1.",,,,,,,,,,,,,,,,systole
bc_locaware_perseg_focalfix_perfreqnorm,bc_locaware_perseg_focalfix_perfreqnorm,completed,2026-05-27T18:52:34Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/bc_locaware_perseg_focalfix_perfreqnorm,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/bc_locaware_perseg_focalfix_perfreqnorm/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/bc_locaware_perseg_focalfix_perfreqnorm/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,multiscale,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.9115389252843537,0.8459102812696443,0.8409951368514128,0.7150837988826816,0.966906474820144,0.847682119205298,0.847682119205298,0.7757575757575758,0.06970084112914,0.8263574921664248,672.0,23.0,51.0,128.0,systole
ensemble_bc_seed42,ensemble_bc_seed42,completed,2026-05-27T22:12:34Z,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/ensemble_bc_seed42,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/ensemble_bc_seed42/summary.md,/Users/thiagorodrigues/Desktop/obsidian/heart-research/experiments/nested_tcn_systole_cnn/ensemble_bc_seed42/metrics_summary.json,cardiac-phase,ignore,2.0,10.0,50,0.15,multiscale,attention,False,1.0,1.0,0.5,"sensitivity=1,specificity=1,precision=1,f1=1",,0.5,0.8980105301233873,0.8192367829577258,0.8353241429203007,0.7094972067039106,0.9611510791366906,0.8246753246753247,0.8246753246753247,0.7627627627627628,0.0750934887506859,0.8145215933196721,668.0,27.0,52.0,127.0,systole
